"country","region","country_name"
"KIR","East Asia & Pacific","Kiribati"
"KNA","Latin America & Caribbean","St. Kitts and Nevis"
"KOR","East Asia & Pacific","Korea, Rep."
"KWT","Middle East & North Africa","Kuwait"
"LAO","East Asia & Pacific","Lao PDR"
"LBN","Middle East & North Africa","Lebanon"
"LBR","Sub-Saharan Africa","Liberia"
"LBY","Middle East & North Africa","Libya"
"LCA","Latin America & Caribbean","St. Lucia"
"LIE","Europe & Central Asia","Liechtenstein"
"LKA","South Asia","Sri Lanka"
"LSO","Sub-Saharan Africa","Lesotho"
"LTU","Europe & Central Asia","Lithuania"
"LUX","Europe & Central Asia","Luxembourg"
"LVA","Europe & Central Asia","Latvia"
"MAC","East Asia & Pacific","Macao SAR, China"
"MAF","Latin America & Caribbean","St. Martin (French part)"
"MAR","Middle East & North Africa","Morocco"
"MCO","Europe & Central Asia","Monaco"
"MDA","Europe & Central Asia","Moldova"
"MDG","Sub-Saharan Africa","Madagascar"
"MDV","South Asia","Maldives"
"MEX","Latin America & Caribbean","Mexico"
"MHL","East Asia & Pacific","Marshall Islands"
"MKD","Europe & Central Asia","North Macedonia"
"MLI","Sub-Saharan Africa","Mali"
"MLT","Middle East & North Africa","Malta"
"MMR","East Asia & Pacific","Myanmar"
"MNE","Europe & Central Asia","Montenegro"
"MNG","East Asia & Pacific","Mongolia"
"MNP","East Asia & Pacific","Northern Mariana Islands"
"MOZ","Sub-Saharan Africa","Mozambique"
"MRT","Sub-Saharan Africa","Mauritania"
"MUS","Sub-Saharan Africa","Mauritius"
"MWI","Sub-Saharan Africa","Malawi"
"MYS","East Asia & Pacific","Malaysia"
"NAM","Sub-Saharan Africa","Namibia"
"NCL","East Asia & Pacific","New Caledonia"
"NER","Sub-Saharan Africa","Niger"
"NGA","Sub-Saharan Africa","Nigeria"
"NIC","Latin America & Caribbean","Nicaragua"
"NLD","Europe & Central Asia","Netherlands"
"NOR","Europe & Central Asia","Norway"
"NPL","South Asia","Nepal"
"NRU","East Asia & Pacific","Nauru"
"NZL","East Asia & Pacific","New Zealand"
"OMN","Middle East & North Africa","Oman"
"PAK","South Asia","Pakistan"
"PAN","Latin America & Caribbean","Panama"
"PER","Latin America & Caribbean","Peru"
"PHL","East Asia & Pacific","Philippines"
"PLW","East Asia & Pacific","Palau"
"PNG","East Asia & Pacific","Papua New Guinea"
"POL","Europe & Central Asia","Poland"
"PRI","Latin America & Caribbean","Puerto Rico"
"PRK","East Asia & Pacific","Korea, Dem. People's Rep."
"PRT","Europe & Central Asia","Portugal"
"PRY","Latin America & Caribbean","Paraguay"
"PSE","Middle East & North Africa","West Bank and Gaza"
"PYF","East Asia & Pacific","French Polynesia"
"QAT","Middle East & North Africa","Qatar"
"ROU","Europe & Central Asia","Romania"
"RUS","Europe & Central Asia","Russian Federation"
"RWA","Sub-Saharan Africa","Rwanda"
"SAU","Middle East & North Africa","Saudi Arabia"
"SDN","Sub-Saharan Africa","Sudan"
"SEN","Sub-Saharan Africa","Senegal"
"SGP","East Asia & Pacific","Singapore"
"SLB","East Asia & Pacific","Solomon Islands"
"SLE","Sub-Saharan Africa","Sierra Leone"
"SLV","Latin America & Caribbean","El Salvador"
"SMR","Europe & Central Asia","San Marino"
"SOM","Sub-Saharan Africa","Somalia"
"SRB","Europe & Central Asia","Serbia"
"SSD","Sub-Saharan Africa","South Sudan"
"STP","Sub-Saharan Africa","São Tomé and Principe"
"SUR","Latin America & Caribbean","Suriname"
"SVK","Europe & Central Asia","Slovak Republic"
"SVN","Europe & Central Asia","Slovenia"
"SWE","Europe & Central Asia","Sweden"
"SWZ","Sub-Saharan Africa","Eswatini"
"SXM","Latin America & Caribbean","Sint Maarten (Dutch part)"
"SYC","Sub-Saharan Africa","Seychelles"
"SYR","Middle East & North Africa","Syrian Arab Republic"
"TCA","Latin America & Caribbean","Turks and Caicos Islands"
"TCD","Sub-Saharan Africa","Chad"
"TGO","Sub-Saharan Africa","Togo"
"THA","East Asia & Pacific","Thailand"
"TJK","Europe & Central Asia","Tajikistan"
"TKM","Europe & Central Asia","Turkmenistan"
"TLS","East Asia & Pacific","Timor-Leste"
"TON","East Asia & Pacific","Tonga"
"TTO","Latin America & Caribbean","Trinidad and Tobago"
"TUN","Middle East & North Africa","Tunisia"
"TUR","Europe & Central Asia","Turkey"
"TUV","East Asia & Pacific","Tuvalu"
"TZA","Sub-Saharan Africa","Tanzania"
"UGA","Sub-Saharan Africa","Uganda"
"UKR","Europe & Central Asia","Ukraine"
"URY","Latin America & Caribbean","Uruguay"
"USA","North America","United States"
"UZB","Europe & Central Asia","Uzbekistan"
"VCT","Latin America & Caribbean","St. Vincent and the Grenadines"
"VEN","Latin America & Caribbean","Venezuela, RB"
"VGB","Latin America & Caribbean","British Virgin Islands"
"VIR","Latin America & Caribbean","Virgin Islands (U.S.)"
"VNM","East Asia & Pacific","Vietnam"
"VUT","East Asia & Pacific","Vanuatu"
"WSM","East Asia & Pacific","Samoa"
"XKX","Europe & Central Asia","Kosovo"
"YEM","Middle East & North Africa","Yemen, Rep."
"ZAF","Sub-Saharan Africa","South Africa"
"ZMB","Sub-Saharan Africa","Zambia"
"ZWE","Sub-Saharan Africa","Zimbabwe"
